Brand,Premium,Size,Cond,Price,DTS
Adidas,0,32,Seven,699,0
Adidas,0,32,Seven,699,0
Adidas,0,32,Seven,699,0
Adidas,0,32,Seven,699,0
Adidas,0,40,Nine,999,0
Adidas,0,38,Eight,999,0
Adidas,0,36,Eight,1099,0
Adidas,0,38,Nine,1111,0
Adidas,0,38,Nine,1111,0
Adidas,0,40,Eight,1124.5,0
Adidas,0,40,Eight,1124.5,0
Adidas,0,46,Nine,1189,0
Adidas,0,42,Nine,1199,0
Adidas,0,42,Nine,1199,0
Adidas,0,38,Nine,1199,0
Adidas,0,39,Seven,1199,0
Adidas,0,40,Nine,1199.4,0
Adidas,0,40,Nine,1199.4,0
Adidas,0,43,Seven,1212,0
Adidas,0,43,Seven,1240,0
Adidas,0,38,Nine,1249.5,0
Adidas,0,42,Seven,1299,0
Adidas,0,44,Nine,1299,0
Adidas,0,44,Nine,1299,0
Adidas,0,42,Nine,1349,0
Adidas,0,42,Nine,1399,0
Adidas,0,40,Nine,1445.1,0
Adidas,0,38,Nine,1499.4,0
Adidas,0,42,Nine,1549,0
Adidas,0,42,Nine,1559,0
Adidas,0,43,Seven,1619,0
Adidas,0,44,Nine,1699,0
Adidas,0,42,Eight,1799,0
Adidas,0,43,Nine,1829,0
Adidas,0,42,Eight,1899,0
Adidas,0,42,Eight,1899,0
Adidas,0,43,Nine,1899,0
Adidas,0,43,Eight,1899,0
Adidas,0,43,Nine,1899,0
Adidas,0,42,Eight,1947,0
Adidas,0,42,Eight,1949,0
Adidas,0,42,Eight,1949,0
Adidas,0,39,Seven,1969,0
Adidas,0,41,Eight,1999,0
Adidas,0,41,Eight,1999,0
Adidas,0,42,Eight,1999,0
Adidas,0,40,Nine,1999,0
Adidas,0,40,Nine,1999,0
Adidas,0,41,Eight,1999,0
Adidas,0,41,Eight,1999,0
Adidas,0,27,Nine,1999,0
Adidas,0,27,Nine,1999,0
Adidas,0,42,Eight,1999,0
Adidas,0,42,Eight,1999,0
Adidas,0,42,Eight,1999,0
Adidas,0,42,Eight,1999,0
Adidas,0,43,Ten,2000,0
Adidas,0,43,Nine,2000,0
Adidas,0,42,Nine,2020,0
Adidas,0,46,Nine,2050.44,0
Adidas,0,41,Eight,2098.95,0
Adidas,0,41,Eight,2098.95,0
Adidas,0,44,Seven,2099,0
Adidas,0,44,Seven,2099,0
Adidas,0,43,Seven,2099,0
Adidas,0,42,Nine,2109,0
Adidas,0,41,Seven,2119,0
Adidas,0,44,Nine,2199,0
Adidas,0,44,Nine,2199,0
Adidas,0,42,Eight,2199,0
Adidas,0,43,Seven,2199,0
Adidas,0,42,Nine,2200,0
Adidas,0,43,Eight,2222,0
Adidas,0,42,Nine,2238,0
Adidas,0,40,Eight,2249,0
Adidas,0,44,Eight,2255,0
Adidas,0,41,Eight,2279.2,0
Adidas,0,41,Nine,2299,0
Adidas,0,41,Nine,2299,0
Adidas,0,41,Nine,2367.14,0
Adidas,0,40,Eight,2499,0
Adidas,0,42,Eight,2499,0
Adidas,0,42,Nine,2499,0
Adidas,0,38,Nine,2499,0
Adidas,0,43,Nine,2499,0
Adidas,0,43,Nine,2499,0
Adidas,0,43,Nine,2499,0
Adidas,0,43,Eight,2499,0
Adidas,0,38,Nine,2499,0
Adidas,0,38,Nine,2499,0
Adidas,0,38,Nine,2499,0
Adidas,0,42,Eight,2499,0
Adidas,0,42,Eight,2599,0
Adidas,0,42,Eight,2599,0
Adidas,0,44,Nine,2608.63,0
Adidas,0,44,Nine,2608.63,0
Adidas,0,42,Eight,2640,0
Adidas,0,42,Eight,2649,0
Adidas,0,43,Eight,2699,0
Adidas,0,45,Nine,2699,0
Adidas,0,36,Eight,2699,0
Adidas,0,39,Nine,2699,0
Adidas,0,42,Eight,2749,0
Adidas,0,42,Eight,2749,0
Adidas,0,45,Eight,2749,0
Adidas,0,40,Nine,2789,0
Adidas,0,43,Nine,2789,0
Adidas,0,44,Nine,2799,0
Adidas,0,45,Eight,2799,0
Adidas,0,44,Nine,2799,0
Adidas,0,44,Eight,2799,0
Adidas,0,39,Nine,2819,0
Adidas,0,41,Eight,2849,0
Adidas,0,41,Eight,2849,0
Adidas,0,43,Nine,2849,0
Adidas,0,46,Seven,2859,0
Adidas,0,43,Nine,2880,0
Adidas,0,42,Nine,2899,0
Adidas,0,43,Eight,2899,0
Adidas,0,44,Seven,2919,0
Adidas,0,44,Seven,2919,0
Adidas,0,45,Nine,2959,0
Adidas,0,45,Nine,2969,0
Adidas,0,39,Ten,2974,0
Adidas,0,41,Eight,2999,0
Adidas,0,42,Nine,2999,0
Adidas,0,44,Eight,2999,0
Adidas,0,46,Nine,2999,0
Adidas,0,46,Nine,2999,0
Adidas,0,46,Nine,2999,0
Adidas,0,43,Nine,2999,0
Adidas,0,41,Eight,2999,0
Adidas,0,38,Eight,2999,0
Adidas,0,40,Nine,2999,0
Adidas,0,40,Nine,2999,0
Adidas,0,43,Nine,2999,0
Adidas,0,44,Eight,2999,0
Adidas,0,44,Eight,2999,0
Adidas,0,41,Nine,2999,0
Adidas,0,41,Nine,2999,0
Adidas,0,43,Nine,2999,0
Adidas,0,41,Nine,3009,0
Adidas,0,42,Nine,3020,0
Adidas,0,37,Nine,3050,0
Adidas,0,41,Nine,3099,0
Adidas,0,42,Nine,3099,0
Adidas,0,42,Nine,3099,0
Adidas,0,42,Nine,3099,0
Adidas,0,42,Eight,3099,0
Adidas,0,44,Nine,3099,0
Adidas,0,46,Nine,3149,0
Adidas,0,44,Nine,3163.48,0
Adidas,0,40,Nine,3190,0
Adidas,0,40,Nine,3190,0
Adidas,0,42,Eight,3199,0
Adidas,0,42,Nine,3199,0
Adidas,0,45,Nine,3199,0
Adidas,0,43,Eight,3199,0
Adidas,0,46,Nine,3199,0
Adidas,0,43,Nine,3299,0
Adidas,0,44,Nine,3299,0
Adidas,0,46,Nine,3333,0
Adidas,0,45,Eight,3340,0
Adidas,0,42,Eight,3399,0
